"Fecha registro","Asignado a","Tier","Expira","Device ID / Serial Hardware","UUIDs (con guiones)","UUID sin guiones (hash base)","Hash (completo)"
"2026-02-28 03:51:26","USB 0001","extractor","2026-07-20","6D660F57AB5632A68888F65C3C6D8A38","C45AB6BF","C45AB6BF","5eaf9712e4c9c904238ab5ba0a9fd86dac1e79490272cfb918b9af79f2bffabd"
"2026-02-28 03:51:56","USB 0002","extractor","2026-07-20","84502EADB4D6BC023C2A833CC070B330","4E47E3A0","4E47E3A0","4ecbd436f4c46f3f79e928cfc21a1e9b52d2370420f584542dd8c3e2ef4abcf3"
"2026-02-28 04:14:59","USB 0003","comparador","2026-07-20","8C46A83CBF30689DBD4C8470EDF28177","1E4FE8DB","1E4FE8DB","ab23fcfacac24ed2b25c45d3e1bcd62bad5aef659613122c2c0b81f53e11fb83"
"2026-02-28 04:18:17","USB 0004","extractor","2026-07-20","0F6C42F2C65F8B4197F6306651635355","C0520E64","C0520E64","b6ac4341619da9cf630a2ba9756a398920f7b84c60ee0b61fb5b98f306f378a4"
"2026-02-28 04:20:59","USB 0005","extractor","2026-07-20","D98613F7BC976A01877C0AC1F210E964","6C3D815C","6C3D815C","10d0cdcdc2e992abb84ca481567623578f935b0d6344c0f819c6c41cbc1a9337"
"2026-02-28 04:23:17","USB 0006","extractor","2026-07-20","6AADF6200D504ED93C3706C4674A4DC8","66676745","66676745","958dee5f20bba7933d5d6a85e04e2c58e5b22d8f6d501d0a0cb2630fa48937f7"
"2026-02-28 04:25:47","USB 0007","extractor","2026-07-20","176394C04A42EEDFE9442B44B79613A0","66676745","66676745","fe9f4c9a4b37ffefb6be826b0b7f57ed237950c78ee9d35de2f3bb5526d1ab18"
"2026-02-28 04:28:17","USB 0008","extractor","2026-07-20","F06E681C6D6AACEBF13B4C0143C867F6","66676745","66676745","d9563f64c98825853f7a90a0c153d972f54858660427d6f70b29d7a19ff05b6b"
"2026-02-28 04:30:21","USB 0009","extractor","2026-07-20","E2F1202D277FF2BFD6FB04BB90A263B3","66676745","66676745","ba1fb75e799dc8d3f5ac42b722e300e1e9f3bdaec65395228b295262939ee0ee"
"2026-02-28 04:33:15","USB 0010","extractor","2026-07-20","50C49626B5A3A0D7EAF2A7BAABE352A3","66676745","66676745","be1313b3599fb547aae95201bba68614a3cde1d02971af52c87c01c56af80f4f"
"2026-02-28 04:39:34","USB 0010","extractor","2026-07-20","ACEF39339B90301A2FEBF1C1B34520A7","C0520E64","C0520E64","c7ae56fb907ca582c1a582d4cbd37e359db5cd094a65a5bf00a7f9980cf013a1"
"2026-02-28 04:43:06","USB 0012","extractor","2026-07-20","CB857DA783E72FC55B5DB817BEE27D3F","C0520E64","C0520E64","571ea7f9e22337bc26648e7ba698a89167d2d994fe24ebac292389528d24b1e3"
"2026-02-28 04:45:25","USB 0013","extractor","2026-07-20","0DD2F9D30B8418A90947070C9DA013B7","C0520E64","C0520E64","d2440157ec701495d9191810f4b07c6b5a0ad68e032168585297c5586e4ab170"
"2026-02-28 04:47:26","USB 0014","extractor","2026-07-20","35A61A9347433B6B6C1DA28B3050879B","66676745","66676745","67406af07aa0409db2205909c7a348172ac8cae0619e954dfcd9113265d16967"
"2026-02-28 04:49:15","USB 0015","extractor","2026-07-20","0BCB47BF038F7200DE50E64411E655D4","66676745","66676745","26f12a38c4a8badb50c9ef517d84a60f6ced86dc844377592160786a917dac22"
"2026-02-28 05:00:14","USB 0016","extractor","2026-07-20","96309DBBC6942D6753CB8E2987A204E8","66676745","66676745","8ecabc91c9d9a10ad403ef2c0fde4c84a2c740918e6733977f7a7ae28cb4781d"
